query_id	query_text	doc_id	snt_id	source_snt
G14.2	end to end encryption	2884788726	G14.2_2884788726_2	However, in information-centric networking (ICN) the end-to-end encryption makes the content caching ineffective since encrypted content stored in a cache is useless for any consumer except those who know the encryption key.
G17.2	qbit	2893955699	G17.2_2893955699_1	Concatenated Greenberger–Horne–Zeilinger (C-GHZ) state is a kind of logic qubit which is robust in noisy environment.
G17.4	quantum applications	2974627365	G17.4_2974627365_1	Quantum circuits for arithmetic functions over Galois fields such as squaring are required to implement quantum cryptanalysis algorithms.
T19.2	genetic algorithm	2172121104	T19.2_2172121104_3	The XECGA is then used to build the probabilistic model and to sample a new population based on the probabilistic model.
T15.1	cyber-security	2887855654	T15.1_2887855654_7	We also present a subset demonstration of this model, TravelToken, which utilizes QR code that stores and uses travel information in smart contract over Ethereum.
G07.2	conspiracy theories	1917985537	G07.2_1917985537_2	Treating search engines as editorial products with intrinsic biases can help understand the structure of information flows in new media.
T15.1	cyber-security	2952002252	T15.1_2952002252_3	To achieve this, some organisations “pentest” their employees, testing their resilience and ability to detect and repel human-targeted attacks.
T15.1	cyber-security	2952002252	T15.1_2952002252_1	Penetration tests have become a valuable tool in the cyber security defence strategy in terms of detecting vulnerabilities.
G07.2	conspiracy theories	1887815499	G07.2_1887815499_7	Our general framework relies on online content made voluntarily available by crowds of people, in response to some news or blog articles published by official news agencies.
T13.3	imbalanced data	2134225881	T13.3_2134225881_2	The immune-based algorithm Artificial Immune Recognition System (AIRS) is applied to Duke Energy distribution systems outage data and we investigate its capability to classify imbalanced data.
T13.3	imbalanced data	2885975229	T13.3_2885975229_3	To this end, this paper presents an imbalanced data classification algorithm based on fuzzy rule.
T19.1	traffic optimization	2041007121	T19.1_2041007121_2	The challenge for topology exposure is to provide a compact representation that is sufficiently accurate and complies to topology hiding policies.
G17.4	quantum applications	2298554870	G17.4_2298554870_1	We present a method to accelerate the dynamical evolution of mutltiqubit open system by employing dynamical decoupling pulses (DDPs) when the qubits are initially in W-type states.
G14.2	end to end encryption	2611788902	G14.2_2611788902_1	Quality-to-Experience (QoE) refers to users' experience when using an application.
T16.3	distributed attack	2230023062	T16.3_2230023062_1	In this study, the authors consider the detection and identification problems of distributed domain name system (DNS) cache poisoning attack.
G17.2	qbit	2040411766	G17.2_2040411766_6	The frequency of occurrence of entanglement sudden death and entanglement sudden birth in two parameter class of state is half than qubit---qutrit pure state.
G17.2	qbit	2099103563	G17.2_2099103563_1	We introduce a general odd qubit entangled system composed of GHZ and Bell pairs and explicate its usefulness for quantum teleportation, information splitting and superdense coding.
G17.1	quantum computing	2042591812	G17.1_2042591812_2	Majority gate is a fundamental Boolean operator in some nano-scale technologies such as quantum-dot cellular automata (QCA).
G17.4	quantum applications	2328341797	G17.4_2328341797_7	We also observe that the entanglement and quantum discord decay to zero in the case of enough large N, which can be understood that the interaction with the macroscopic medium can destroy the quantum correlation of a two-qubit system.
G14.2	end to end encryption	3000868545	G14.2_3000868545_1	We present an overview of end-to-end encryption solutions for convergecast traffic in wireless sensor networks that support in-network processing at forwarding intermediate nodes.
T15.2	side-channel attack	2012614298	T15.2_2012614298_5	Experimental results show that our proposed method successfully retrieves a plaintext from a ciphertext.
T13.3	imbalanced data	2551429935	T13.3_2551429935_7	The proposed method can effectively capture classification errors from both majority class and minority class equally.
T16.3	distributed attack	2230023062	T16.3_2230023062_1	In this study, the authors consider the detection and identification problems of distributed domain name system (DNS) cache poisoning attack.
G18.2	Crowsourcing	2554589817	G18.2_2554589817_6	A differential privacy model ensures rigorous privacy guarantee, and Laplace noise is introduced to protect workers’ exact locations.
T16.2	guessing attack	1760039095	T16.2_1760039095_3	Recently, Lu and Cao proposed a new simple three-party key exchange S-3PAKE protocol and claimed that it is not only very simple and efficient, but also can survive against various known attacks.
G07.2	conspiracy theories	1917985537	G07.2_1917985537_4	As a case study, the methodology is applied to 15 popular conspiracy theories, examining type of content and ideological bias, demonstrating how this approach can inform debates in this field, specifically in relation to the representation of non-mainstream positions, the suppression of controversies and relativism.
T13.3	imbalanced data	2166739810	T13.3_2166739810_4	Experimental results on a robotic arm controller show that our method has better generalization performance than traditional neural net training in solving the multi-label and imbalanced data problems.
T19.1	traffic optimization	2761355172	T19.1_2761355172_2	We show how these results can be used to obtain better approximate solutions to three related problems that have important applications in QoS routing and in traffic optimization.
G07.2	conspiracy theories	1887815499	G07.2_1887815499_4	The representation of the event is turned fuzzy with an increased entropy value.
G17.1	quantum computing	2962706423	G17.1_2962706423_4	We clarify the role of conventional constraints on memory addressing and instruction widths within the quantum computing context.
G14.2	end to end encryption	2722360008	G14.2_2722360008_5	We found that the adoption of secure communication tools is hindered by fragmented user bases and incompatible tools.
G14.2	end to end encryption	2178173146	G14.2_2178173146_9	We also find that despite this trust difference, users still overwhelmingly prefer integrated encryption software, due to the enhanced user experience it provides.
T16.2	guessing attack	2144748689	T16.2_2144748689_4	Our improvement is based on the Rabin cryptosystem.
G17.1	quantum computing	1999767563	G17.1_1999767563_3	We also illustrate a novel hybrid architecture in which n-type transistors are carbon nanotube and p-type ones use benzene rings.
G17.4	quantum applications	2524344971	G17.4_2524344971_1	Quantum entanglement can offer a quadratic enhancement in the precision of parameter estimation.
G17.1	quantum computing	1985674454	G17.1_1985674454_4	Simulation results illustrate significant improvement in terms of speed and Power-Delay Product (PDP).
G14.2	end to end encryption	2088744588	G14.2_2088744588_2	Another area of potential use for these networks is in physical security systems where they can potentially improve mobile communications, communications with remote locations, temporary communications, and geolocation applications.
G14.2	end to end encryption	2611788902	G14.2_2611788902_2	Network operators typically focus on Quality-of-Service (QoS) metrics such as throughput, delay, and packet loss.
G07.2	conspiracy theories	170316166	G07.2_170316166_2	global warming induced by chemtrails or the link between vaccines and autism – find on the Web a natural medium for their dissemination.
G14.2	end to end encryption	3000868545	G14.2_3000868545_1	We present an overview of end-to-end encryption solutions for convergecast traffic in wireless sensor networks that support in-network processing at forwarding intermediate nodes.
