topic_id;topic_text;topic_url;query_id;query_text
G01;Digital assistants like Siri and Alexa entrench gender biases says UN;https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says;G01.1;Digital assistant
G01;Digital assistants like Siri and Alexa entrench gender biases says UN;https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says;G01.2;Biases
G01;Digital assistants like Siri and Alexa entrench gender biases says UN;https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says;G01.C1;how AI systems, especially virtual assistants, can perpetuate gender stereotypes
G01;Digital assistants like Siri and Alexa entrench gender biases says UN;https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says;G01.C2;interaction between users and digital assistants, and how gender roles are represented
G01;Digital assistants like Siri and Alexa entrench gender biases says UN;https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says;G01.C3;language models used by digital assistants and their responses to various inputs
G02;Apple contractors 'regularly hear confidential details' on Siri recordings;https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings;G02.1;Confidential
G02;Apple contractors 'regularly hear confidential details' on Siri recordings;https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings;G02.2;Privacy
G02;Apple contractors 'regularly hear confidential details' on Siri recordings;https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings;G02.C1;concerns related to the handling of sensitive information by voice assistants
G02;Apple contractors 'regularly hear confidential details' on Siri recordings;https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings;G02.C2;ethical considerations in the development and deployment of AI systems, particularly those involving personal data
G02;Apple contractors 'regularly hear confidential details' on Siri recordings;https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings;G02.C3;technology behind voice assistants and how they process and interpret human speech
G03;Alexa Siri... Elsa? Children drive boom in smart speakers;https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers;G03.1;smart speaker
G03;Alexa Siri... Elsa? Children drive boom in smart speakers;https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers;G03.2;surveillance
G03;Alexa Siri... Elsa? Children drive boom in smart speakers;https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers;G03.C1;how children interact with voice assistants and the design of child-friendly interfaces
G03;Alexa Siri... Elsa? Children drive boom in smart speakers;https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers;G03.C2;privacy and safety concerns for children using voice assistants and connected devices
G03;Alexa Siri... Elsa? Children drive boom in smart speakers;https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers;G03.C3;impact of emerging technologies like voice assistants on family life and child development
G04;Drug companies look to AI to end 'hit and miss' research;https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research;G04.1;drug discovery
G04;Drug companies look to AI to end 'hit and miss' research;https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research;G04.2;functional genomics
G04;Drug companies look to AI to end 'hit and miss' research;https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research;G04.3;infectious diseases
G04;Drug companies look to AI to end 'hit and miss' research;https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research;G04.C1;use of AI to improve success rates and speed in the pharmaceutical research field
G04;Drug companies look to AI to end 'hit and miss' research;https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research;G04.C2;how machine learning models predict disease patterns and treatment outcomes
G04;Drug companies look to AI to end 'hit and miss' research;https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research;G04.C3;role of data mining techniques in analyzing complex biological data for drug development
G05;After the Nobel what next for Crispr gene-editing therapies?;https://www.theguardian.com/science/2021/feb/21/after-the-nobel-what-next-for-crispr-gene-editing-therapies;G05.1;gene editing
G05;After the Nobel what next for Crispr gene-editing therapies?;https://www.theguardian.com/science/2021/feb/21/after-the-nobel-what-next-for-crispr-gene-editing-therapies;G05.2;crispr
G05;After the Nobel what next for Crispr gene-editing therapies?;https://www.theguardian.com/science/2021/feb/21/after-the-nobel-what-next-for-crispr-gene-editing-therapies;G05.C1;application of machine learning algorithms to predict genomic features, functions, and the outcomes of gene-editing interventions like Crispr
G05;After the Nobel what next for Crispr gene-editing therapies?;https://www.theguardian.com/science/2021/feb/21/after-the-nobel-what-next-for-crispr-gene-editing-therapies;G05.C2;tools for mapping genomic edits, visualizing gene expression patterns, and understanding the spatial and functional relationships between different genomic elements from the vast amounts of data generated by Crispr experiments and other genomic studies
G06;Elon Musk: regulate AI to combat 'existential threat' before it's too late;https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo;G06.1;ubiquity
G06;Elon Musk: regulate AI to combat 'existential threat' before it's too late;https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo;G06.2;self driving
G06;Elon Musk: regulate AI to combat 'existential threat' before it's too late;https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo;G06.C1;ethical considerations, governance frameworks, and policies for the responsible development and deployment of AI technologies
G06;Elon Musk: regulate AI to combat 'existential threat' before it's too late;https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo;G06.C2;technical challenges and strategies to ensure AI systems are safe, secure, and do not pose unintended harmful consequences
G06;Elon Musk: regulate AI to combat 'existential threat' before it's too late;https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo;G06.C3;legal implications, regulatory standards, and compliance issues associated with AI technologies
G07;Misinformation runs rampant as Facebook says it may take a week before it unblocks some pages;https://www.theguardian.com/technology/2021/feb/19/misinformation-runs-rampant-as-facebook-says-it-may-take-a-week-before-it-unblocks-some-pages;G07.1;misinformation
G07;Misinformation runs rampant as Facebook says it may take a week before it unblocks some pages;https://www.theguardian.com/technology/2021/feb/19/misinformation-runs-rampant-as-facebook-says-it-may-take-a-week-before-it-unblocks-some-pages;G07.2;conspiracy theories
G07;Misinformation runs rampant as Facebook says it may take a week before it unblocks some pages;https://www.theguardian.com/technology/2021/feb/19/misinformation-runs-rampant-as-facebook-says-it-may-take-a-week-before-it-unblocks-some-pages;G07.C1;use of NLP techniques to detect and analyze misinformation in textual content on social media platforms
G07;Misinformation runs rampant as Facebook says it may take a week before it unblocks some pages;https://www.theguardian.com/technology/2021/feb/19/misinformation-runs-rampant-as-facebook-says-it-may-take-a-week-before-it-unblocks-some-pages;G07.C2;study of social networks to understand the spread and impact of misinformation
G08;Bitcoin's market value exceeds $1tn after price soars;https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000;G08.1;cryptocurrency
G08;Bitcoin's market value exceeds $1tn after price soars;https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000;G08.2;financial markets
G08;Bitcoin's market value exceeds $1tn after price soars;https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000;G08.C1;understand the cryptographic underpinnings of blockchain technology, which is the foundation of Bitcoin and other cryptocurrencies
G08;Bitcoin's market value exceeds $1tn after price soars;https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000;G08.C2;study of distributed ledger technology and the consensus mechanisms (like Proof of Work) that enable the decentralized operation of cryptocurrencies
G08;Bitcoin's market value exceeds $1tn after price soars;https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000;G08.C3;application of computational techniques to analyze cryptocurrency markets, price fluctuations, and economic implications
G09;Forensic Architecture: detail behind the devilry;https://www.theguardian.com/artanddesign/2018/feb/25/forensic-architects-eyal-weizman;G09.1;forensics
G09;Forensic Architecture: detail behind the devilry;https://www.theguardian.com/artanddesign/2018/feb/25/forensic-architects-eyal-weizman;G09.C1;computer science techniques to analyze spatial data and imagery, particularly for reconstructing crime scenes or human rights violation incidents
G09;Forensic Architecture: detail behind the devilry;https://www.theguardian.com/artanddesign/2018/feb/25/forensic-architects-eyal-weizman;G09.C2;use of 3D modeling and advanced data visualization techniques to reconstruct events and present evidence in a comprehensible format
G09;Forensic Architecture: detail behind the devilry;https://www.theguardian.com/artanddesign/2018/feb/25/forensic-architects-eyal-weizman;G09.C3;application of machine learning algorithms to analyze large datasets, such as videos, photographs, and satellite images, for forensic investigation
G10;Robots on the rise as Americans experience record job losses amid pandemic;https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us;G10.1;humanoid robots
G10;Robots on the rise as Americans experience record job losses amid pandemic;https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us;G10.2;disrupting
G10;Robots on the rise as Americans experience record job losses amid pandemic;https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us;G10.C1;study of robotic technologies and automated systems that are replacing human labor in various sectors
G10;Robots on the rise as Americans experience record job losses amid pandemic;https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us;G10.C2;economic implications of increased automation and AI in the workforce, including job displacement and creation
G10;Robots on the rise as Americans experience record job losses amid pandemic;https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us;G10.C3;interaction between humans and automated systems, and how the workforce adapts to these technological changes
G11;UK wants new drones in wake of Azerbaijan military success;https://www.theguardian.com/world/2020/dec/29/uk-defence-secretary-hails-azerbaijans-use-of-drones-in-conflict;G11.1;drones
G11;UK wants new drones in wake of Azerbaijan military success;https://www.theguardian.com/world/2020/dec/29/uk-defence-secretary-hails-azerbaijans-use-of-drones-in-conflict;G11.C1;development, control, and automation of drones
G11;UK wants new drones in wake of Azerbaijan military success;https://www.theguardian.com/world/2020/dec/29/uk-defence-secretary-hails-azerbaijans-use-of-drones-in-conflict;G11.C2;how AI is used in drones for decision-making, surveillance, and combat
G11;UK wants new drones in wake of Azerbaijan military success;https://www.theguardian.com/world/2020/dec/29/uk-defence-secretary-hails-azerbaijans-use-of-drones-in-conflict;G11.C3;secure and efficient communication between drones and control stations
G12;Patient data from GP surgeries sold to US companies;https://www.theguardian.com/politics/2019/dec/07/nhs-medical-data-sales-american-pharma-lack-transparency;G12.1;patient data
G12;Patient data from GP surgeries sold to US companies;https://www.theguardian.com/politics/2019/dec/07/nhs-medical-data-sales-american-pharma-lack-transparency;G12.C1;ethics surrounding the sale and use of health data for commercial purposes
G12;Patient data from GP surgeries sold to US companies;https://www.theguardian.com/politics/2019/dec/07/nhs-medical-data-sales-american-pharma-lack-transparency;G12.C2;potential technologies for ensuring the security and privacy of health data
G12;Patient data from GP surgeries sold to US companies;https://www.theguardian.com/politics/2019/dec/07/nhs-medical-data-sales-american-pharma-lack-transparency;G12.C3;laws and regulations affecting the transfer and use of health data across countries
G12;Patient data from GP surgeries sold to US companies;https://www.theguardian.com/politics/2019/dec/07/nhs-medical-data-sales-american-pharma-lack-transparency;G12.C4;use of patient data for research by pharmaceutical companies, including data analysis techniques
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.1;digital marketing
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.2;advertising
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.C1;Search Engine Optimization (SEO) - Techniques and strategies to improve website visibility in search engine results pages (SERPs)
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.C2;Pay-Per-Click (PPC) Advertising - A model of internet marketing in which advertisers pay a fee each time one of their ads is clicked
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.C3;Social Media Marketing (SMM) - Utilizing social media platforms to connect with your audience to build your brand, increase sales, and drive website traffic
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.C4;Content Marketing - A strategic marketing approach focused on creating and distributing valuable, relevant, and consistent content to attract and retain a clearly defined audience
G13;Baffled by digital marketing? Find your way out of the maze;https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content;G13.C5;Email Marketing - The use of email to promote products or services while developing relationships with potential customers or clients
G14;End-to-end encryption protects children says UK information watchdog;https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog;G14.1;online safety for children
G14;End-to-end encryption protects children says UK information watchdog;https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog;G14.2;end to end encryption
G14;End-to-end encryption protects children says UK information watchdog;https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog;G14.C1;Cryptography and End-to-End Encryption - Fundamental technologies and protocols for securing communications
G14;End-to-end encryption protects children says UK information watchdog;https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog;G14.C2;Cybersecurity Measures and Online Safety - Strategies and technologies to protect users, especially children, in the digital environment
G14;End-to-end encryption protects children says UK information watchdog;https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog;G14.C3;Data Protection and Regulation Compliance - Understanding the impact of laws and regulations on technology design and implementation, specifically regarding encryption and privacy
G14;End-to-end encryption protects children says UK information watchdog;https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog;G14.C4;Ethical Considerations in Encryption Technologies - The balance between encryption for security and potential misuse, including access by law enforcement
